brand,role_inbox,file,size,type
claritytaxgroup,info,info.png,1040x864,photo
daycpafirm,accounting,accounting-banner.png,1200x516,banner
daycpafirm,info,info-banner.png,1200x516,banner
dbalexander,info,info-banner.png,1040x216,banner
dimovaudit,hello,hello-banner.png,400x73,banner
dimovaudit,hello,hello.png,394x390,photo
dimovtax,contact,contact-banner.png,880x334,banner
dimovtax,contact,contact.png,394x390,photo
dimovtax,george,george-banner.png,880x334,banner
dimovtax,george,george.png,394x390,photo
dimovtax,hello,hello-banner.png,880x334,banner
dimovtax,hello,hello.png,394x390,photo
dimovtax,hr,hr.png,400x400,photo
dimovtax,info,info-banner.png,880x334,banner
dimovtax,info,info.png,394x390,photo
dimovtax,office,office-banner.png,880x334,banner
dimovtax,office,office.png,394x390,photo
dimovtax,proposals,proposals-banner.png,1392x248,banner
dimovtax,team,team-banner.png,880x334,banner
dimovtax,team,team.png,394x390,photo
mariscpa,info,info-banner.png,1040x269,banner
richmondstreetadvisors,hello,hello-banner.png,196x69,banner
thetaxaccountinggroup,info,info-banner.png,1040x72,banner
wasserman,george,george-banner.png,2000x600,banner
wasserman,george,george.png,390x390,photo
wattercpa,george,george-banner.png,500x82,banner
wattercpa,info,info-banner.png,1040x171,banner
